filename,predicted_language
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7670.wav,pun
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7676.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7671.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2024.wav,eng
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7668.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2021.wav,hin
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2023.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7672.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7675.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2022.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7669.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2026.wav,pun
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7673.wav,pun
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2025.wav,guj
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benM7674.wav,pun
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2020.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2018.wav,ben
/home/sujeet/Data/Sujeet_PhD/Project_NLTM_LID/For_GitHub/Untitled_Folder/GUI/classified_audio/ben/benF2019.wav,ben
